time_ms,N1,N2,N3,N4,N5,N6,N7,N8,N9,activity,rawWinner,stableWinner,score,trueClass,correct
149905,689,581,613,598,936,1001,721,627,620,147.4,N6,N7,0.965,N7,True
150001,713,585,596,611,932,1003,619,701,657,150.85,N6,N7,0.975,N7,True
150097,692,586,573,619,928,1003,601,757,616,146.18,N6,N7,0.969,N7,True
150193,569,591,553,631,924,1001,655,659,654,137.39,N6,N7,0.982,N7,True
150289,584,592,528,639,921,1000,695,737,612,147.5,N6,N7,0.968,N7,True
150385,620,595,510,651,918,1000,733,625,651,149.7,N6,N7,0.946,N7,True
150481,649,595,582,658,915,1001,574,704,607,136.18,N6,N7,0.98,N7,True
150577,679,600,701,670,913,1000,620,733,648,167.18,N6,N7,0.963,N7,True
150673,701,601,687,675,910,1003,666,670,603,161.85,N6,N6,0.966,N6,True
150769,726,606,674,687,909,1001,708,754,644,183.29,N6,N6,0.97,N6,True
150865,611,607,658,691,911,1000,691,642,598,149.96,N6,N6,0.965,N6,True
150961,570,612,645,701,913,1000,580,732,641,152.65,N6,N6,0.947,N6,True
151057,605,613,625,706,916,1001,635,651,593,142.85,N6,N6,0.971,N6,True
151153,639,618,608,716,918,1001,682,711,638,163.51,N6,N6,0.979,N6,True
151249,668,619,587,670,921,1003,719,723,586,159.63,N6,N6,0.975,N6,True
151345,704,628,569,622,929,1000,625,746,638,155.74,N6,N6,0.974,N6,True
151441,737,645,556,569,949,999,771,861,621,184.48,N6,N6,0.88,N6,True
151537,604,679,558,611,978,983,900,899,662,202.48,N6,N6,0.799,N6,True
151633,672,756,583,762,987,954,980,904,694,248.07,N6,N6,0.695,N6,True
151729,730,794,689,855,978,879,1002,871,728,274.07,N7,N6,0.739,N6,True
151825,654,804,779,911,961,752,1001,788,721,256.85,N7,N6,0.726,N6,True
151921,601,806,767,922,944,760,1000,797,730,251.96,N7,N6,0.731,N6,True
152017,648,747,663,916,937,716,1000,856,714,237.51,N7,N6,0.855,N6,True
152113,691,739,727,914,929,752,1001,855,701,249.96,N7,N6,0.877,N6,True
152209,729,669,713,916,920,728,1002,850,706,241.51,N7,N6,0.867,N6,True
152305,631,732,672,916,916,717,1001,841,709,230.63,N7,N6,0.865,N6,True
152401,612,695,731,915,912,745,1000,832,688,230.07,N7,N6,0.846,N6,True
152497,661,628,667,913,915,680,999,817,668,209.85,N7,N7,0.854,N7,True
152593,699,676,629,908,913,764,1001,827,656,223.74,N7,N7,0.863,N7,True
152689,731,712,678,905,897,667,1002,850,651,225.96,N7,N7,0.905,N7,True
152785,601,742,718,904,889,762,1003,878,648,231.74,N7,N7,0.893,N7,True
152881,632,745,685,896,865,680,999,896,644,220.29,N7,N7,0.94,N7,True
152977,792,973,881,808,804,715,980,769,663,258.4,N2,N7,0.59,N7,True
153073,828,993,933,671,716,733,939,636,639,225.4,N2,N7,0.81,N7,True
153169,849,999,927,697,760,567,890,576,597,200.29,N2,N7,0.851,N7,True
153265,860,998,915,741,618,559,863,610,614,190.96,N2,N7,0.891,N7,True
153361,864,999,906,603,686,586,845,637,642,189.85,N2,N7,0.914,N7,True
153457,864,999,906,645,737,609,847,662,583,199.18,N2,N7,0.911,N7,True
153553,865,999,913,700,647,636,846,690,618,206.07,N2,N7,0.932,N7,True
153649,862,999,922,749,662,660,851,714,647,222.96,N2,N7,0.923,N7,True
153745,863,1000,928,593,721,680,852,598,591,196.29,N2,N2,0.9,N2,True
153841,863,1000,934,662,719,701,847,553,625,204.96,N2,N2,0.899,N2,True
153937,867,1000,939,713,638,719,846,593,650,211.74,N2,N2,0.912,N2,True
154033,867,1000,930,722,702,597,843,626,594,202.4,N2,N2,0.926,N2,True
154129,872,1001,912,599,753,549,845,660,625,196.24,N2,N2,0.883,N2,True
154225,880,1001,884,653,618,594,864,699,646,197.74,N2,N2,0.894,N2,True
154321,899,999,813,677,694,640,865,691,577,199.51,N2,N2,0.86,N2,True
154417,940,973,800,689,763,711,835,658,596,211.74,N2,N2,0.835,N2,True
154513,982,935,711,694,621,674,744,831,603,192.85,N1,N2,0.936,N2,True
154609,1000,936,774,705,701,698,783,927,612,230.74,N1,N2,0.884,N2,True
154705,999,938,622,706,742,763,768,921,613,223.63,N1,N2,0.794,N2,True
154801,1000,939,690,707,623,640,642,904,615,188.96,N1,N2,0.892,N2,True
154897,1001,937,741,707,644,718,734,902,616,215.63,N1,N2,0.903,N2,True
154993,1002,936,597,710,698,681,653,898,618,192.63,N1,N2,0.843,N2,True
155089,1000,935,662,711,740,668,709,889,619,208.18,N1,N2,0.885,N2,True
155185,999,934,718,711,617,738,734,882,620,210.4,N1,N2,0.893,N2,True
155281,1000,932,693,711,641,615,672,875,620,188.85,N1,N1,0.915,N1,True
155377,1001,930,628,711,693,688,741,862,620,201.63,N1,N1,0.883,N1,True
155473,1002,928,691,711,733,751,611,854,620,204.63,N1,N1,0.877,N1,True
155569,1000,925,748,711,644,642,743,885,622,206.74,N1,N1,0.914,N1,True
155665,912,987,772,649,714,725,943,768,644,228.29,N1,N1,0.71,N1,True
155761,667,958,955,946,782,721,944,698,684,255.07,N4,N1,0.611,N1,True
155857,626,772,994,976,635,621,691,683,676,179.4,N3,N1,0.63,N1,True
155953,644,741,996,923,640,689,676,658,604,167.96,N3,N1,0.679,N1,True
156049,673,758,998,841,647,668,679,638,619,162.4,N3,N1,0.81,N1,True
156145,732,786,997,798,666,656,693,632,639,171.07,N3,N1,0.897,N1,True
156241,614,844,997,833,698,652,726,636,586,169.63,N3,N1,0.834,N1,True
156337,701,895,998,819,731,655,583,653,626,177.96,N3,N1,0.899,N1,True
156433,764,883,998,834,633,656,635,668,654,185.07,N3,N1,0.916,N1,True
156529,644,866,995,852,593,654,675,678,605,166.96,N3,N1,0.853,N1,True
156625,716,844,996,874,634,652,707,690,636,187.74,N3,N3,0.849,N3,True
156721,712,829,997,855,664,646,697,696,581,179.74,N3,N3,0.857,N3,True
156817,659,826,999,827,691,641,563,696,604,160.74,N3,N3,0.845,N3,True
156913,730,853,998,774,713,634,578,637,630,165.29,N3,N3,0.928,N3,True
157009,659,894,996,760,733,626,611,594,618,159.07,N3,N3,0.928,N3,True
157105,675,882,996,835,606,617,640,564,594,149.96,N3,N3,0.901,N3,True
157201,742,870,999,781,571,608,666,538,621,150.31,N3,N3,0.923,N3,True
157297,619,857,1000,708,602,599,689,520,641,136.42,N3,N3,0.922,N3,True
157393,680,813,997,908,648,602,729,535,592,162.97,N3,N3,0.771,N3,True
157489,707,758,938,996,746,640,789,592,708,201.63,N4,N3,0.776,N3,True
157585,729,606,806,989,777,693,780,636,764,191.18,N4,N3,0.869,N3,True
157681,636,576,792,991,804,738,802,679,763,191.29,N4,N3,0.856,N3,True
157777,581,609,817,998,852,586,827,721,755,189.32,N4,N3,0.829,N3,True
157873,631,638,877,998,799,634,858,622,758,195.07,N4,N3,0.877,N3,True
157969,673,663,845,1000,728,688,866,624,750,197.51,N4,N3,0.938,N3,True
158065,709,686,817,1000,836,733,883,683,744,225.74,N4,N3,0.942,N3,True
158161,740,711,790,999,807,602,890,733,758,218.96,N4,N3,0.912,N3,True
158257,597,732,739,998,766,647,894,596,752,184.63,N4,N4,0.898,N4,True
158353,611,626,828,998,791,702,891,649,744,197.85,N4,N4,0.918,N4,True
158449,657,561,809,998,810,745,891,704,756,209.39,N4,N4,0.885,N4,True
158545,691,593,753,1000,791,599,904,724,754,194.4,N4,N4,0.913,N4,True
158641,729,703,749,988,884,716,944,649,755,228.63,N4,N4,0.867,N4,True
158737,646,815,763,950,956,784,993,863,748,273.18,N7,N4,0.791,N4,True
158833,788,888,638,846,954,880,1000,950,694,286.51,N7,N4,0.736,N4,True
158929,762,912,654,784,948,880,1001,960,687,280.96,N8,N4,0.728,N4,True
159025,752,906,714,757,943,849,1002,946,689,277.63,N8,N4,0.725,N4,True
159121,763,885,730,824,947,829,1002,931,700,283.51,N7,N4,0.787,N4,True
159217,682,875,630,866,949,839,1000,932,705,268.74,N7,N4,0.782,N4,True
159313,787,861,694,849,950,843,999,929,699,283.51,N7,N4,0.803,N4,True
159409,712,849,745,828,951,850,1000,927,671,274.85,N7,N4,0.787,N4,True
159505,802,834,598,805,952,860,1001,924,658,263.85,N8,N4,0.72,N4,True
159601,739,849,673,787,954,871,1002,922,664,266.85,N7,N4,0.727,N4,True
159697,718,871,729,825,947,891,1000,920,670,279.07,N7,N7,0.741,N7,True
159793,757,898,654,872,939,882,1000,916,673,281.29,N7,N7,0.756,N7,True
159889,669,889,649,856,932,874,1000,915,675,266.63,N7,N7,0.758,N7,True
159985,790,884,705,819,930,883,1002,926,674,283.74,N7,N7,0.745,N7,True
160081,826,887,734,682,915,928,996,966,645,279.96,N8,N7,0.757,N7,True
160177,889,865,611,719,885,952,981,985,616,271.51,N8,N7,0.77,N7,True
160273,942,802,563,734,839,953,906,998,616,254.85,N8,N7,0.753,N7,True
160369,924,761,566,599,859,959,841,1000,634,231.51,N8,N7,0.703,N7,True
160465,905,702,555,540,849,963,863,999,590,216.42,N8,N7,0.732,N7,True
160561,899,779,555,580,830,961,888,1000,600,227.37,N8,N7,0.746,N7,True
160657,904,664,555,611,787,963,868,1000,626,214.7,N8,N7,0.782,N7,True
160753,907,747,556,639,800,968,865,1001,647,231.37,N8,N8,0.76,N8,True
160849,905,662,553,660,858,971,860,1002,587,224.03,N8,N8,0.765,N8,True
160945,910,704,555,683,835,970,858,1002,616,231.92,N8,N8,0.767,N8,True
161041,909,770,556,705,807,961,863,1002,639,240.48,N8,N8,0.766,N8,True
161137,907,642,548,717,770,958,856,1002,570,215.37,N8,N8,0.798,N8,True
161233,906,717,542,644,820,958,855,1003,599,224.92,N8,N8,0.769,N8,True
161329,900,745,540,565,844,963,858,1002,624,225.03,N8,N8,0.725,N8,True
161425,900,658,536,563,818,967,862,1001,645,215.81,N8,N8,0.747,N8,True
161521,897,738,533,592,776,969,862,1000,580,216.15,N8,N8,0.762,N8,True
161617,889,669,534,622,792,970,865,1000,609,216.26,N8,N8,0.785,N8,True
161713,884,701,534,648,849,960,867,1000,633,230.26,N8,N8,0.772,N8,True
161809,878,766,534,670,820,954,869,1000,599,231.81,N8,N8,0.78,N8,True
161905,826,596,517,684,837,976,884,992,597,215.48,N8,N8,0.806,N8,True
162001,737,610,537,695,886,998,830,969,639,210.15,N6,N8,0.75,N8,True
162097,714,613,622,698,865,1001,743,935,586,190.85,N6,N8,0.813,N8,True
162193,619,621,689,698,842,1002,797,908,621,193.07,N6,N8,0.799,N8,True
162289,682,631,673,705,861,1001,759,897,653,200.29,N6,N8,0.857,N8,True
162385,728,642,659,714,891,999,714,879,620,198.51,N6,N8,0.892,N8,True
162481,634,657,644,669,895,998,824,878,661,200.07,N6,N8,0.861,N8,True
162577,636,667,625,605,894,1000,789,875,626,184.18,N6,N8,0.874,N8,True
162673,695,680,608,557,894,1000,737,871,664,182.96,N6,N8,0.878,N8,True
162769,739,688,587,542,894,1001,763,868,630,186.23,N6,N6,0.849,N6,True
162865,593,700,567,560,893,1000,797,864,634,172.07,N6,N6,0.846,N6,True
162961,651,709,545,579,893,998,748,862,634,177.03,N6,N6,0.871,N6,True
163057,703,717,519,593,892,997,733,864,606,183.37,N6,N6,0.857,N6,True
163153,746,664,533,606,895,1000,793,844,637,190.7,N6,N6,0.857,N6,True
163249,604,599,616,622,945,998,770,853,604,172.4,N6,N6,0.909,N6,True
163345,681,555,698,668,982,988,808,843,696,209.39,N6,N6,0.886,N6,True
163441,724,595,715,753,1000,960,882,814,717,233.4,N6,N6,0.839,N6,True
163537,683,621,686,701,1000,912,859,668,755,202.85,N5,N6,0.914,N6,True
163633,591,638,646,791,1002,889,783,732,750,195.85,N5,N6,0.913,N6,True
163729,641,653,630,675,999,896,774,640,743,176.85,N5,N6,0.972,N6,True
163825,679,667,616,766,1000,887,848,688,753,204.96,N5,N6,0.909,N6,True
163921,711,680,602,654,999,888,812,753,740,197.74,N5,N6,0.916,N6,True
164017,739,689,598,737,999,889,745,619,749,189.4,N5,N6,0.937,N6,True
164113,581,700,599,695,1000,894,742,699,741,178.76,N5,N6,0.949,N6,True
164209,615,708,599,696,1000,902,800,760,732,194.74,N5,N6,0.912,N6,True
164305,658,718,603,764,1000,905,743,635,743,189.96,N5,N5,0.94,N5,True
164401,693,715,602,637,1001,908,735,710,729,185.63,N5,N5,0.951,N5,True
164497,724,658,601,718,1002,911,780,713,745,199.18,N5,N5,0.957,N5,True
164593,667,613,600,757,1001,892,688,630,741,169.96,N5,N5,0.967,N5,True
164689,570,576,595,711,990,847,785,684,758,166.21,N5,N5,0.927,N5,True
164785,611,550,569,820,959,732,691,711,772,154.5,N9,N5,0.916,N5,True
164881,638,565,561,884,899,781,761,686,777,166.57,N9,N5,0.826,N5,True
164977,654,566,575,866,805,620,602,570,777,108.72,N9,N5,0.75,N5,True
165073,669,563,587,849,860,667,662,542,776,125.85,N9,N5,0.831,N5,True
165169,683,561,596,806,835,712,712,523,775,133.63,N9,N5,0.817,N5,True
165265,696,557,610,755,783,739,733,518,776,131.63,N9,N5,0.744,N5,True
165361,709,552,621,811,763,569,590,522,776,103.63,N9,N5,0.624,N5,True
165457,721,548,631,827,843,624,651,528,775,129.29,N9,N5,0.743,N5,True
